datetime_utc,ground_station,az_deg,el_deg
2020-01-01 01:14:00,Australia,153.34491345284366,5.985022930472067
2020-01-01 01:14:30,Australia,149.8676703089518,7.265924022382798
2020-01-01 01:15:00,Australia,146.5309226931001,9.065463519701073
2020-01-01 01:15:30,Australia,143.43183836367842,12.777342218302675
2020-01-01 01:16:00,Australia,138.91913152992313,15.091055501157312
2020-01-01 01:16:30,Australia,133.25157645689947,20.36230006732085
2020-01-01 01:17:00,Australia,121.98118422702959,22.009802703693747
2020-01-01 01:17:30,Australia,114.8835846770368,26.172736942952866
2020-01-01 01:18:00,Australia,100.35234326483133,30.140223702259032
2020-01-01 01:18:30,Australia,85.85489015472233,30.04617906475161
2020-01-01 01:19:00,Australia,70.86882647693955,31.50158919377682
2020-01-01 01:19:30,Australia,53.682800086895654,27.411852999649824
2020-01-01 01:20:00,Australia,42.42796907629801,24.09603645972603
2020-01-01 01:20:30,Australia,32.70322754628412,18.499819122346274
2020-01-01 01:21:00,Australia,28.019708208321017,17.257878578663398
2020-01-01 01:21:30,Australia,23.723878037548392,13.596549657527682
2020-01-01 01:22:00,Australia,17.830742595978002,10.50620679838948
2020-01-01 01:22:30,Australia,15.773886717180083,8.513470559853467
2020-01-01 01:23:00,Australia,11.017993902404132,6.035207203978493
2020-01-01 01:23:30,Australia,10.874596768223915,4.078339875406319
2020-01-01 01:24:00,Australia,7.838969330266056,0.6680550336488941
2020-01-01 01:24:30,Australia,6.495834240071713,-0.5255713528247388
2020-01-01 01:46:00,Svalbard,68.68623431001147,3.4217318121695075
2020-01-01 01:46:30,Svalbard,68.40385216989932,6.384914013201833
2020-01-01 01:47:00,Svalbard,65.50958011360824,8.722375422346289
2020-01-01 01:47:30,Svalbard,64.7666277760458,12.842736043063047
2020-01-01 01:48:00,Svalbard,60.53318995654709,13.936293232923498
2020-01-01 01:48:30,Svalbard,58.75494867197501,16.27189500204448
2020-01-01 01:49:00,Svalbard,51.24505888132826,25.175996244173707
2020-01-01 01:49:30,Svalbard,46.13884849820871,30.782492952687395
2020-01-01 01:50:00,Svalbard,33.814479333557344,38.07642157736114
2020-01-01 01:50:30,Svalbard,16.710692579429672,43.62822788467652
2020-01-01 01:51:00,Svalbard,-5.84301643465394,44.17565661491277
2020-01-01 01:51:30,Svalbard,-30.173315857021816,40.67052894654247
2020-01-01 01:52:00,Svalbard,-46.60265170485778,35.30936598295894
2020-01-01 01:52:30,Svalbard,-60.41823652118502,27.7776432339866
2020-01-01 01:53:00,Svalbard,-65.68343650327844,23.268131672036407
2020-01-01 01:53:30,Svalbard,-71.29926625340045,18.312906016301287
2020-01-01 01:54:00,Svalbard,-73.41341731510902,15.412802978880638
2020-01-01 01:54:30,Svalbard,-79.75857780596041,11.381603044402338
2020-01-01 01:55:00,Svalbard,-78.82526255256941,8.654040174743919
2020-01-01 01:55:30,Svalbard,-81.0439322032679,6.593055092673525
2020-01-01 01:56:00,Svalbard,-84.55321378139583,1.7001362844766956
2020-01-01 01:56:30,Svalbard,-85.89444170025911,1.0338835936103137
2020-01-01 01:57:00,Svalbard,-86.67898563716334,-0.8400114350509993
2020-01-01 02:19:30,Argentina,-40.02167965693962,2.6347333914719915
2020-01-01 02:20:00,Argentina,-44.90959350977654,5.013541650448676
2020-01-01 02:20:30,Argentina,-49.305192717620315,7.001147501144429
2020-01-01 02:21:00,Argentina,-54.258694325489394,7.803902555135242
2020-01-01 02:21:30,Argentina,-62.21928084892722,10.502347510661332
2020-01-01 02:22:00,Argentina,-69.3644134951008,11.413032717871218
2020-01-01 02:22:30,Argentina,-76.92062804725938,12.108778826340014
2020-01-01 02:23:00,Argentina,-84.88808635741248,10.056732865800956
2020-01-01 02:23:30,Argentina,-93.59155965066884,13.842048924167399
2020-01-01 02:24:00,Argentina,-99.87788943647412,9.991170287975693
2020-01-01 02:24:30,Argentina,-109.72500610246787,11.123610531529009
2020-01-01 02:25:00,Argentina,-116.04758447747237,8.352676616684361
2020-01-01 02:25:30,Argentina,-120.9723331644255,8.467381505136672
2020-01-01 02:26:00,Argentina,-128.27473209329395,4.32954776976973
2020-01-01 02:26:30,Argentina,-133.87805025709812,4.757740521756491
2020-01-01 02:27:00,Argentina,-135.56675222755962,3.547744260172401
2020-01-01 02:27:30,Argentina,-141.12417313135467,1.4202752003432428
2020-01-01 02:28:00,Argentina,-143.45525320572986,0.9237047219703556
2020-01-01 02:28:30,Argentina,-145.51859125005046,-2.3508316179271667
2020-01-01 02:29:00,Antarctica,-25.05316698452391,3.8071814991159276
2020-01-01 02:29:30,Antarctica,-27.015535603907466,7.075939159255812
2020-01-01 02:30:00,Antarctica,-30.894675713257197,8.577494774094943
2020-01-01 02:30:30,Antarctica,-36.13832529653133,11.373722776064401
2020-01-01 02:31:00,Antarctica,-40.309658696396276,13.921018079142065
2020-01-01 02:31:30,Antarctica,-47.59185544782965,17.48180215904802
2020-01-01 02:32:00,Antarctica,-55.39000480611396,19.36211360291694
2020-01-01 02:32:30,Antarctica,-64.56815224170693,23.362464390531713
2020-01-01 02:33:00,Antarctica,-76.13353652406771,23.889385988534002
2020-01-01 02:33:30,Antarctica,-91.42988155630123,28.27919362125372
2020-01-01 02:34:00,Antarctica,-104.59444339105727,25.543766770558165
2020-01-01 02:34:30,Antarctica,-115.77217255828367,22.35514880746365
2020-01-01 02:35:00,Antarctica,-126.5597625965906,21.689898366477074
2020-01-01 02:35:30,Antarctica,-132.54709013851655,15.25561334298803
2020-01-01 02:36:00,Antarctica,-140.59617354181984,13.339042297010597
2020-01-01 02:36:30,Antarctica,-145.71231959869232,11.065889518884223
2020-01-01 02:37:00,Antarctica,-148.5642977046133,8.72957109603672
2020-01-01 02:37:30,Antarctica,-153.26260773055753,7.941687218907563
2020-01-01 02:38:00,Antarctica,-156.67733312716015,4.634891305519584
2020-01-01 02:38:30,Antarctica,-158.83276937137228,2.7066168539925086
2020-01-01 02:39:00,Antarctica,-163.10246422378466,1.1907072745816438
2020-01-01 02:39:30,Antarctica,-163.8671224014428,-0.9383093794581961
2020-01-01 02:40:00,Antarctica,-163.58437301116223,-1.9848855945342236
